id,f1_gekauft,f1_getrunken,f1_weder_noch,f2_grund_nichtkauf,f3_discounter,f3_getraenkemarkt,f3_kaufhaus,f3_kiosk,f3_sonstige,f3_supermarkt,f4_konsumhaeufigkeit,f5_flaschenzahl_025_AB,f5_flaschenzahl_033_AB,f5_flaschenzahl_050_AB,f5_flaschenzahl_075_AB,f5_flaschenzahl_100_AB,f5_flaschenzahl_150_AB,f6_gebindeart,f7_muell_einweg,f7_muellbergreduz_mehrweg,f7_umweltschutz_mehrweg,f8_info_beimKauf,f8_info_empfehlung,f8_info_papierwerbung,f8_info_sonstiges,f8_info_website_LEH,f8_info_website_marken,f8_info_werbespots,f8_info_zeitschriften,f9_konsum_abends,f9_konsum_mahlzeiten,f9_konsum_party,f9_konsum_sonstiges,f9_konsum_sport,f9_konsum_zwischendurch,f10_kauf_einkaufzettel,f10_kauf_party_pflicht,f10_kauf_spontan,f10_kauf_weiterempfehlung,f11_assoziation_offen,f12_assozi_abwechselung,f12_assozi_cool,f12_assozi_durst,f12_assozi_erfrischung,f12_assozi_freizeit,f12_assozi_fruchtig,f12_assozi_lecker,f12_assozi_party,f12_assozi_sommer,f12_assozi_sonne,f12_assozi_sonstige,f12_assozi_spass,f12_assozi_sport,f12_assozi_urlaub,f12_assozi_zuckerhaltig,f13_weiterempfehlung_NPS_AB,f14_grund_weiterempfehlung_NPS,f15_markennennung_spontan,f16_konsum_adelholzener,f16_konsum_bluna,f16_konsum_deit,f16_konsum_fanta,f16_konsum_fritz,f16_konsum_herman,f16_konsum_mirinda,f16_konsum_now_sunny,f16_konsum_orangina,f16_konsum_river,f16_konsum_schweppes,f16_konsum_sinalco,f16_konsum_sonstige,f16_konsum_vilsa,f16_konsum_vio,f17_lieblingsmarke,f17_lieblingsmarke_sonstige,f18_preisoffen_A_fanta,f18_preisoffen_A_fritz,f18_preisoffen_A_vio,f19_preisspanne_B_fanta,f19_preisspanne_B_fritz,f19_preisspanne_B_vio,f20_fanta_A,f20_fanta_B,f20_fritz_A,f20_fritz_B,f20_vio_A,f20_vio_B,f21_preis_guter_deal_fanta_A,f21_preis_guter_deal_fritz_B,f22_preis_zu_teuer_fanta_A,f22_preis_zu_teuer_fritz_B,f23_preis_teuer_ok_fanta_A,f23_preis_teuer_ok_fritz_B,f24_preis_zu_guenstig_fanta_A,f24_preis_zu_guenstig_fritz_B,f25_auf_party_wichtig,f25_beim_essen_ueblich,f25_zum_mixen,f26_besonders_probieren,f26_gern_ausprobieren,f26_kleine_marken_gut,f26_LM_innovator,f26_markentreu,f26_verkostung_beliebt,f26_vielfalt_inspirierend,f26_werbung_animierend,f27_aesthetisch_Flaschen,f27_beliebt_kinder,f27_bioprodukt,f27_geringer_zuckergehalt,f27_geschmack_fruchtig,f27_guenstiger_preis,f27_hoher_fruchtgehalt,f27_leicht_oeffnen,f27_natuerlich_zutaten,f27_nostalgie,f27_umweltfreundliche_produktion,f27_wiederverschliessbar,f28_aufdringlich_dezent_AB,f28_cool_AB,f28_fruchtanteil_AB,f28_modern_traditionell_AB,f28_passen_produkt_AB,f28_preis_AB,f28_qualitaet_AB,f28_regio_global_AB,f28_vertrauen_AB,f29_geschmack_fanta,f29_geschmack_fritz,f29_geschmack_hermannsbrause,f29_geschmack_orangina,f29_geschmack_river_orange,f29_geschmack_vio,f29_natuerlich_fanta,f29_natuerlich_fritz,f29_natuerlich_hermannsbrause,f29_natuerlich_orangina,f29_natuerlich_river_orange,f29_natuerlich_vio,f29_preis_fanta,f29_preis_fritz,f29_preis_hermannsbrause,f29_preis_orangina,f29_preis_river_orange,f29_preis_vio,f29_umwelt_fanta,f29_umwelt_fritz,f29_umwelt_hermannsbrause,f29_umwelt_orangina,f29_umwelt_river_orange,f29_umwelt_vio,f29_verpack_fanta,f29_verpack_fritz,f29_verpack_hermannsbrause,f29_verpack_orangina,f29_verpack_river_orange,f29_verpack_vio,f29_vielfalt_fanta,f29_vielfalt_fritz,f29_vielfalt_hermannsbrause,f29_vielfalt_orangina,f29_vielfalt_river_orange,f29_vielfalt_vio,f29_zucker_fanta,f29_zucker_fritz,f29_zucker_hermannsbrause,f29_zucker_orangina,f29_zucker_river_orange,f29_zucker_vio,f30_PET_Dose_besuch_A,f30_PET_Dose_leicht_A,f30_PET_Dose_mitnahme_A,f30_PET_Dose_modern_A,f30_PET_Dose_praktisch_A,f30_PET_Dose_sport_A,f30_PET_Dose_umweltfreundlich_A,f31_farbe_braun_B,f31_farbe_gruen_B,f31_farbe_transparent_B,f31b_farbe_egal_B,f32_verletzungsgefahr_B,f32_verschluss_hochpreisig_A,f32_verschluss_hochpreisig_B,f32_verschluss_leicht_zu_oeffnen_A,f32_verschluss_leicht_zu_oeffnen_B,f32_verschluss_modern_A,f32_verschluss_modern_B,f32_verschluss_umweltfreundlich_A,f32_verschluss_umweltfreundlich_B,f32_verschluss_verletzungsgefahr_A,f33_durstloescher,f33_gefuehl_urlaub,f33_hochpreisig_inhaltsstoffe,f33_klassische_marken,f33_preis_teils_teils,f33_preisguenstige_marken,f33_trendmarken,f34_0_zucker,f34_100_geschmack,f34_bio,f34_fruchtanteil,f34_geschuettelt,f34_natuerlich_mineralwasser,f34_ohne_konservierungsstoffe,f34_ohne_kunstfarbstoffe,f34_vitamin_e,f34_zuckerfrei,f35_siegel_aufdringlich_dezent_AB,f35_siegel_aussehen_AB,f35_siegel_kontrolle_AB,f35_siegel_modern_traditionell_AB,f35_siegel_produktwertigkeit_AB,f35_siegel_regionalitaet_AB,f35_siegel_vertrauen_AB,f36_choiceset_1,f36_choiceset_2,f36_choiceset_3,f36_choiceset_4,f36_choiceset_5,f36_choiceset_6,f36_zufallswahl_choiceset,f37_choiceset_1,f37_choiceset_2,f37_choiceset_3,f37_choiceset_4,f37_choiceset_5,f37_choiceset_6,f37_zufallswahl_choiceset,f38_fastfood,f38_gedanken_ernaehrung,f38_gut_essen_restaurant,f38_hausmannskost,f38_herkunft_egal,f38_preisbereit_qualitaet,f38_ueberschaetzung_ernaehrung,f39_geburtsjahr,f40_schulabschluss,f40_schulabschluss_sonstige,f41_erwerbstaetig,f42_berufsstellung,f43_bestmoeglicher_preis,f43_eigenmarken,f43_hochpreis_topqualitaet,f43_hoher_preis_gleich_qualitativ,f43_marken_gleich_gut,f43_markenprodukte,f43_preis_indikator_qualitaet,f43_preis_kleinere_produkte,f43_preisvergleich,f43_qualitaet_zahlungsbereit,f44_2_bah,f44_3_blp,f44_4_bgb,f44_5_blw,f44_6_boe,f44_sonstiger_studiengang,f44_studiengang,f45_semester,f46_LM_allergie,f46_LM_allergie_welche,f47_diaet,f47_diaet_sonstiges,f48_haushaltsgroesse,f49_kinder_unter_12,f50_2_landlich,f50_3_stadtrand,f50_4_zentrum,f50_wohnlage,f51_plz,f52_hh_einkommen,f53_geschlecht
72,1,1,0,,0,1,0,0,,1,1,-999,1,-999,-999,-999,-999,5,-2,1,0,1,1,1,,0,0,1,0,0,0,1,,0,0,-1,1,-2,0,Fanta,0,0,0,0,0,1,0,1,1,1,,0,0,0,0,1,noch nicht probiert,"fanta, miranda, sonne, fritz, sinalco",0,0,1,1,1,0,1,0,0,1,0,1,,1,1,1,,1.2,1.2,1,-999,-999,-999,7,-999,5,-999,3,-999,1,,2,,1.5,,0.6,,1,-2,-2,0,-1,-2,-1,2,-1,-1,-1,1,-2,-2,-1,2,-999,1,1,1,0,1,1,1,1,2,2,1,0,1,1,0,8,7,4,1,6,4,3,5,4,1,3,8,5,5,7,8,9,3,0,5,1,0,0,10,6,8,3,1,2,3,8,2,0,2,0,3,0,5,3,2,0,8,0,0,2,0,2,2,2,-999,-999,-999,-999,-999,-1,-999,-1,-999,1,-999,-2,-999,-2,-1,-1,-1,2,-1,-2,-2,0,1,-2,-2,-2,-1,1,1,-2,-1,,,,,,,,1,,,,,,1,,,1,,,,4,-1,0,-1,1,-2,1,0,1995,4,,3,-999,0,-2,0,0,1,-1,0,2,2,0,1,0,0,0,0,,1,1,0,,0,,2,0,0,0,1,3,49074,0,2
73,1,1,0,,1,0,0,0,,1,5,-999,-999,-999,-999,2,-999,2,-1,-1,-2,1,0,0,,0,0,0,0,1,0,1,,0,0,0,-1,-1,-2,Fanta,0,0,0,1,0,0,1,0,1,0,,0,0,0,1,9,Fanta,FantaMirinda Freeway,0,0,1,1,1,0,1,0,0,1,0,1,,0,0,1,,,,,3,1,1,-999,1,-999,1,-999,1,,0.5,,0.7,,0.6,,0,-1,0,1,-1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,0,1,1,-1,-2,0,-1,-2,-1,0,1,0,-2,1,1,2,-2,1,9,6,4,3,3,2,4,4,4,4,4,4,3,6,8,7,8,5,1,1,1,1,1,1,8,5,3,2,2,5,6,2,2,3,6,7,3,5,7,5,3,7,-999,-999,-999,-999,-999,-999,-999,-2,0,0,2,1,-999,-1,-999,-1,-999,1,-999,-999,-999,-2,-2,-1,2,0,0,-2,0,-2,-2,0,-2,-2,-1,-1,-2,-1,,,,,,,,,,1,,,,3,,,1,,,,4,-1,-2,0,2,0,-2,1,1998,4,,3,-999,0,-1,0,0,1,0,1,1,1,0,,,,,,,-999,1,0,,0,,4,0,1,0,0,1,49377,7,1
74,0,1,0,,-999,-999,-999,-999,,-999,5,-999,-999,-999,-999,-999,-999,5,-2,2,2,1,0,0,,0,0,0,1,0,0,1,,0,0,0,2,-2,-2,Korn,0,0,0,0,1,0,0,1,1,0,,0,0,0,0,7,Das ist mal keine Mainstream Limonade wie Fanta und Cola etc,FantaVioFitz ColaSchweppes,0,0,0,1,0,0,1,0,0,1,1,1,,1,0,-999,,1,0.75,1,-999,-999,-999,6,-999,7,-999,5,-999,0.5,,1.2,,0.8,,0.35,,2,-2,2,1,2,2,1,-1,0,0,0,2,-2,-2,1,2,1,2,-2,2,2,2,0,-1,1,1,2,2,1,1,2,2,6,9,6,2,3,9,1,8,3,1,1,9,6,8,5,10,8,1,1,9,3,8,1,10,7,7,8,5,2,5,7,5,5,5,3,6,1,7,3,2,0,10,2,2,-2,-2,2,0,2,-999,-999,-999,-999,-999,1,-999,-2,-999,-2,-999,-1,-999,-2,-1,1,0,0,1,1,0,2,0,-2,-2,1,2,2,2,0,2,,,,,,,,,,,,,1,6,,,1,,,,4,-2,1,0,1,-2,1,0,1995,4,,3,-999,0,-1,1,0,1,0,1,2,2,1,0,0,0,1,0,,4,2,0,,0,,3,0,1,0,0,1,31595,8,2
75,1,1,0,,0,1,0,0,,0,2,-999,-999,-999,-999,1,-999,4,-2,0,0,1,0,0,,0,0,0,0,0,0,1,,0,0,-2,1,-2,-1,Hauptsächlich an die Firma Fanta und ihre Nachbauten,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,0,"Recht teurer Preis, Glaspflasche sollte fachgerecht entsorgt wetrden, kleine GrößeIch empfehle in der Regel keine Limonaden weiter",FantaRiver OrangeVIO Bio Limo,0,1,0,1,0,0,0,0,0,0,1,0,,1,1,1,,,,,2,1,3,-999,4,-999,1,-999,7,,0.5,,0.6,,0.65,,0.3,1,-2,0,-1,0,-2,-2,1,0,-1,0,1,-1,0,2,1,0,2,1,1,-2,1,1,1,1,1,-1,1,0,-1,-2,0,5,2,6,0,4,7,5,3,5,2,0,6,2,1,3,1,9,6,1,0,1,1,1,4,3,5,2,2,1,5,8,2,0,0,6,1,1,1,0,1,1,1,-999,-999,-999,-999,-999,-999,-999,-1,1,0,2,1,-999,-1,-999,-1,-999,-1,-999,-1,-999,-2,-2,-1,1,1,0,-1,1,0,0,-2,-2,-1,1,1,-1,-1,,,,,,,,,,3,,,,3,,,,,,3,1,-1,1,0,0,2,1,1,1994,4,,3,-999,-1,-1,0,1,0,-1,-1,0,0,0,0,0,0,1,0,,4,2,0,,0,,3,0,0,1,0,2,49088,1,1
76,1,1,0,,1,0,0,0,,1,4,-999,-999,-999,-999,1,-999,5,-2,0,2,1,1,0,,0,0,0,0,0,0,1,,0,0,0,1,-1,0,an Fanta,1,0,0,0,1,0,0,1,1,0,,0,0,1,0,7,Optik,"Fanta, Fritz-Cola, Vio-Limonade,",0,0,0,1,1,0,0,0,0,1,0,0,,0,1,1,,1,1.2,1.3,-999,-999,-999,10,-999,8,-999,9,-999,1,,2,,1.5,,0.4,,2,-2,-1,0,0,-1,-1,2,1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,1,2,1,1,1,2,0,1,1,0,1,7,9,4,8,4,5,4,5,4,4,1,5,4,3,5,6,9,4,2,5,2,2,1,7,7,9,5,6,2,7,8,8,5,6,2,7,3,3,2,2,2,4,1,1,1,-1,2,1,1,-999,-999,-999,-999,-999,1,-999,-1,-999,-1,-999,1,-999,-2,-1,0,-1,1,0,0,-1,1,1,-1,0,0,0,0,0,0,0,,,,,,,,1,,,,,,1,,1,,,,,5,-1,0,1,-1,0,0,0,1998,4,,3,-999,1,-1,0,0,0,0,0,1,1,0,1,0,0,0,0,,1,1,0,,0,,4,0,1,0,0,1,49406,1,2
77,1,1,0,,1,1,0,0,Homeshopping zuhause bei Mutter,1,4,-999,-999,3,-999,-999,2,5,-1,1,2,0,0,0,gar nicht,0,0,0,0,0,0,1,,0,0,1,1,0,-1,"kinder, die sich am straßenrand geld dazu verdienen wollen ...",1,0,1,0,0,0,0,1,1,0,,0,0,0,1,5,"es ist mir vollkommen egal, wenn er sie trinkt dann ist das so ...","vilsa, fanta, fritz cola, sinalco",0,0,0,1,1,0,0,0,0,1,1,1,,1,1,1,,,,,2,3,2,-999,5,-999,5,-999,5,,0.7,,1.2,,1,,0.5,0,-2,1,1,1,1,0,0,-2,0,-1,0,-2,-2,0,1,-1,1,1,0,0,1,2,0,0,0,1,1,-1,2,-2,2,5,5,5,5,2,4,5,8,7,4,4,7,5,3,5,7,9,3,5,9,5,5,5,5,8,9,3,3,0,3,7,7,5,6,3,5,3,5,3,3,8,5,-999,-999,-999,-999,-999,-999,-999,-2,0,2,0,-1,-999,-1,-999,2,-999,-1,-999,-2,-999,-1,-2,0,1,1,-1,-2,0,0,-2,-2,0,1,1,-1,0,0,2,0,-1,0,1,0,0,,,,,1,,5,,,,1,,,3,-1,-2,0,-1,1,1,-1,1991,4,,3,-999,2,-1,2,-1,0,-1,-1,0,1,1,0,0,0,1,0,,4,3,0,,0,,3,0,0,1,0,2,49090,3,1
78,1,1,0,,0,1,0,1,,0,1,-999,-999,1,-999,-999,-999,5,-1,0,1,0,1,0,,0,0,0,0,1,0,1,,0,0,-2,2,0,1,Fanta,1,0,0,1,0,1,1,1,0,0,,0,0,0,0,2,Aüßerliches Erscheinungsbild gefällt mir nicht,"Fanta, Fritz Limo",0,0,1,1,1,0,1,0,0,1,1,1,,1,1,1,,1.3,1.2,0.9,-999,-999,-999,8,-999,4,-999,3,-999,1,,2,,1.8,,0.4,,2,-2,0,0,0,-1,-1,1,0,-1,1,1,-1,-2,0,1,1,2,-1,1,0,2,1,-1,1,0,1,1,0,1,2,2,9,4,2,2,5,5,5,6,3,1,1,8,3,4,7,7,8,4,3,9,3,5,2,8,6,7,2,0,0,7,4,3,1,3,4,6,4,6,2,3,1,5,1,2,-1,2,2,1,0,-999,-999,-999,-999,-999,-1,-999,-2,-999,1,-999,-1,-999,-2,1,0,0,2,1,1,-1,1,0,-2,-1,-2,1,1,1,2,0,,,,,,,,,,1,,,,3,,1,,,,,5,0,1,1,1,0,0,-1,1995,4,,3,-999,0,-1,1,1,1,0,1,1,1,1,0,0,0,1,0,,4,2,0,,0,,2,-999,1,0,0,1,33790,1,1
79,1,1,0,,1,1,0,1,,1,1,-999,-999,-999,-999,-999,-999,5,-2,0,1,1,1,1,,0,0,1,0,0,0,1,,0,0,1,2,-1,2,"Fanta, Bier mit Limo (Radler)",0,0,0,1,1,0,0,1,0,0,,1,0,0,1,6,Fritz Limo ist modern und schmeckt anders als Fanta,"Fanta, Orangina, Sinalco, Fritz Limo",0,0,1,1,1,0,1,0,1,0,0,1,Orangina,1,1,5,,1.5,1.65,1.75,-999,-999,-999,9,-999,9,-999,3,-999,1.5,,2.5,,2,,0.45,,2,-2,2,0,1,1,-1,1,2,-1,2,0,0,-2,1,1,0,2,1,1,0,0,2,0,2,2,2,2,1,2,2,2,10,10,7,10,5,9,8,10,7,10,4,9,7,5,9,8,10,10,8,9,7,9,5,9,9,10,5,10,5,5,10,10,5,9,5,8,7,9,7,8,7,8,2,0,0,-2,2,2,2,-999,-999,-999,-999,-999,1,-999,-1,-999,-1,-999,1,-999,-1,-2,1,1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,,,,,3,,5,,,,,,2,1,-2,1,1,0,-1,1,0,1997,4,,3,-999,1,-1,1,1,1,0,1,0,2,0,1,0,0,0,0,,1,1,0,,0,,4,0,0,1,0,2,49090,0,2
80,0,1,0,,-999,-999,-999,-999,,-999,1,-999,-999,-999,-999,-999,-999,4,-999,-999,1,1,0,0,,0,0,0,0,0,0,1,,0,0,1,-1,,1,Fanta,0,0,0,0,0,1,0,0,1,1,,0,0,0,1,7,Der Geschmack,"Fanta, Orangina",0,0,1,1,0,0,0,0,0,1,1,1,,0,0,-999,,,,,3,6,5,-999,6,-999,10,-999,4,,1,,3,,2,,0.5,0,-2,0,1,1,1,1,0,1,1,1,1,-999,-2,2,1,0,1,-2,1,-1,0,1,0,1,0,2,2,1,1,-2,1,7,5,3,10,3,6,3,7,8,5,1,6,3,2,6,6,10,4,1,9,8,4,1,7,9,8,9,8,3,7,6,8,7,6,8,7,1,6,5,5,0,6,-999,-999,-999,-999,-999,-999,-999,-2,-1,1,0,-1,-999,-1,-999,2,-999,2,-999,-1,-999,-2,0,0,0,-1,-2,2,1,1,-1,0,1,0,1,0,0,2,,,,,,,,,,2,,,,3,,,2,,,,4,-2,1,0,0,0,2,1,1995,4,,3,-999,-1,-1,0,-1,0,0,0,0,0,0,1,0,0,0,0,,1,1,0,,0,,4,0,1,0,0,1,49844,0,2
81,1,1,0,,1,1,0,0,,1,3,-999,-999,1,-999,1,-999,5,-2,1,2,1,1,0,,0,0,0,0,1,0,1,,0,0,-2,2,0,0,sinalcofantagerryfreeway,0,0,1,1,0,0,0,1,1,0,,0,0,0,1,1,ich habe noch nie fritz ... getrunken,gerrysinalcofantafritz ...freeway,0,0,0,1,1,0,0,0,0,1,1,1,"freeway, gerry",0,0,2,,0.8,0.8,0.8,-999,-999,-999,10,-999,6,-999,1,-999,0.8,,1.2,,1.2,,0.4,,2,-2,1,1,1,0,-1,2,-1,-1,0,-1,-2,-2,0,1,1,1,0,0,1,1,2,0,1,0,2,0,1,1,0,1,3,6,6,3,1,6,2,5,5,2,1,10,2,2,2,2,10,1,4,5,5,3,1,9,4,5,5,2,0,3,2,3,3,2,2,2,2,3,3,3,2,7,1,-2,0,0,1,2,1,-999,-999,-999,-999,-999,-1,-999,-2,-999,-1,-999,1,-999,-2,-1,0,-1,1,0,1,-1,0,1,-2,1,-1,-1,0,0,1,0,-999,-999,-999,-999,-999,-999,-999,,,,,1,,5,,,,,1,,2,0,1,1,2,-2,-1,-1,1993,3,,-999,-999,-999,0,0,-1,2,0,0,0,1,0,1,0,0,0,0,,1,1,0,,0,,5,0,1,0,0,1,45721,0,1
82,0,1,0,,-999,-999,-999,-999,,-999,3,-999,-999,-999,-999,-999,-999,4,-1,1,1,1,1,1,,0,0,0,1,0,1,1,,0,0,1,2,1,0,Fanta,0,0,1,1,0,1,0,1,1,0,,0,0,0,0,7,Das Aussehen,Fanta Vio,0,0,1,1,1,0,1,0,1,1,1,1,,0,0,-999,,,,,4,4,1,-999,8,-999,5,-999,3,,0.7,,1,,0.85,,0.5,2,0,2,0,0,-1,0,2,-1,-1,0,1,1,-1,0,1,1,1,1,1,1,1,1,1,0,2,1,0,0,2,0,-999,8,8,5,6,5,5,8,9,7,7,5,6,8,2,5,9,10,8,7,10,5,6,4,7,7,8,3,3,2,5,10,7,3,7,2,6,4,7,5,5,0,7,-999,-999,-999,-999,-999,-999,-999,-1,1,1,0,-1,-999,-1,-999,-1,-999,-1,-999,-1,-999,0,1,0,2,-1,1,0,0,1,-1,0,0,1,1,1,0,0,,,,,,,,,,,1,,,4,,1,,,,,5,0,-1,0,0,-1,0,-1,1995,4,,3,-999,-1,-1,0,-1,1,1,0,0,1,0,0,0,0,1,0,,4,2,0,,0,,4,0,1,0,0,1,27367,6,1
83,1,1,0,,1,0,0,0,,1,6,-999,-999,2,-999,-999,6,5,-2,2,0,1,0,0,,0,0,0,0,1,1,0,,0,1,1,-1,-1,1,Fanta,0,0,1,1,1,0,1,0,0,0,,0,0,0,1,10,Der Preis ist sehr günstig für das Markenprodukt,"Fanta, Sinalco, Vio, DieLimo",0,0,1,1,1,0,1,0,0,1,0,1,DieLimo,1,1,1,,,,,6,5,5,-999,10,-999,9,-999,9,,0.7,,1.5,,1.1,,0.5,-1,1,-2,0,0,-1,-1,2,-2,-1,1,0,-1,-1,0,1,1,0,-1,0,-1,0,1,-1,1,-1,1,1,0,1,-1,1,10,4,3,7,7,2,3,7,3,3,2,8,5,5,8,6,10,4,3,7,9,5,4,7,7,5,0,2,0,4,7,6,1,1,3,5,3,7,2,3,2,7,-999,-999,-999,-999,-999,-999,-999,-2,-2,2,-1,-2,-999,-1,-999,1,-999,1,-999,-1,-999,1,0,-1,1,-1,1,0,0,0,0,-1,-2,0,1,1,0,0,-2,-2,-2,-2,-1,0,-1,,1,,,,,2,,,1,,,,4,-1,1,0,0,1,0,-1,1993,4,,-999,-999,1,-1,-1,-1,1,-1,-1,2,2,-1,0,0,0,0,1,,5,2,0,,0,,3,0,0,1,0,2,49088,0,2
84,1,1,0,,0,1,0,1,,1,4,-999,-999,1,-999,-999,-999,5,-2,2,2,1,1,0,,0,0,0,0,0,0,1,,0,0,1,1,,,Getränk,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,Ich würde vergessen welche Marke ich gekauft habe,"Freeway, Fanta, Sinalco",0,0,1,1,1,0,0,0,0,1,1,1,,0,0,1,,0.5,0.5,0.5,-999,-999,-999,8,-999,3,-999,1,-999,0.3,,1,,0.75,,0,,1,-2,0,-1,0,-2,0,2,-1,-2,-2,0,-1,-2,-1,2,1,-1,-1,-1,-1,-1,0,-2,0,2,0,-1,1,2,2,2,9,8,5,8,4,8,0,7,0,5,0,5,0,0,8,6,10,0,5,10,5,5,5,5,10,6,0,5,0,7,10,0,5,5,5,7,0,8,3,3,0,5,2,0,2,-2,2,2,1,-999,-999,-999,-999,-999,1,-999,-2,-999,-1,-999,-1,-999,-2,-2,-1,-2,2,-2,-1,-2,-2,0,-2,0,-2,1,0,1,0,-2,,,,,,,,,1,,,,,2,,,1,,,,4,-1,1,-1,2,0,1,-2,1995,4,,3,-999,0,-1,-1,-1,1,0,-1,1,0,-1,0,0,0,1,0,,4,2,0,,0,,3,0,0,1,0,2,49090,1,1
85,1,1,0,,0,1,0,0,,1,2,-999,-999,-999,-999,4,-999,5,-1,2,1,1,0,0,,0,0,1,0,0,0,1,,0,0,0,0,0,1,Gelb und Süß,0,0,0,0,0,0,0,1,1,1,,0,0,0,1,9,Marke und Geschmack,"Fritz, Fanta, Vio,",0,0,1,1,1,0,1,0,1,1,1,1,,1,1,1,,,,,5,2,1,-999,9,-999,2,-999,2,,0.4,,0.7,,0.6,,0.3,1,-2,2,1,1,0,0,1,0,-1,1,1,-1,-2,0,1,1,0,-1,1,0,1,1,0,1,1,0,1,0,2,-1,2,7,7,1,9,3,8,5,5,2,9,2,9,5,5,8,5,9,4,9,9,1,9,1,10,7,7,4,10,1,3,7,7,3,5,2,7,4,4,4,8,1,8,-999,-999,-999,-999,-999,-999,-999,1,0,1,2,1,-999,-2,-999,1,-999,-1,-999,-999,-999,-1,0,0,1,0,0,-1,1,1,1,-999,0,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,2,,,,,,1,,1,,,,,5,0,-1,1,0,1,-1,1,1998,4,,-999,-999,1,-1,1,-1,0,0,0,1,1,0,1,0,0,0,0,,1,1,0,,0,,5,0,1,0,0,1,49577,0,1
86,1,1,0,,1,1,0,1,,1,3,-999,5,3,-999,1,-999,2,-2,1,1,1,0,0,,0,0,0,0,0,0,1,,0,0,-2,0,0,-2,orangen,0,0,1,0,0,1,0,1,0,0,,0,0,0,0,0,icg mag fanter nicht wirklich,fantafritz fanta,0,0,0,1,0,0,1,0,0,1,1,1,,1,1,3,,,,,1,1,1,-999,5,-999,5,-999,1,,0.5,,1,,0.7,,0.1,0,-1,1,0,1,2,0,0,0,-2,-2,2,-2,0,0,1,0,1,-1,1,-1,1,-1,0,-2,-2,0,0,1,0,-2,1,0,7,0,3,0,2,0,7,0,0,0,6,0,7,0,5,6,1,0,7,0,0,0,5,0,7,7,2,0,1,6,7,0,2,0,7,0,7,0,1,0,3,-999,-999,-999,-999,-999,-999,-999,-2,0,1,2,-1,-999,-1,-999,-1,-999,-1,-999,-1,-999,-2,-2,0,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,2,,,,3,2,,,,,,6,-1,-1,-1,-2,-2,1,-2,1993,4,,3,-999,-1,-1,0,1,0,-1,0,0,0,-1,0,0,0,0,1,,5,3,0,,0,,1,0,0,0,1,3,49074,0,1
87,0,1,0,,-999,-999,-999,-999,,-999,2,-999,-999,-999,-999,-999,-999,5,-1,2,1,1,1,0,,0,0,0,0,0,0,1,,0,0,1,-1,0,0,Fanta Korn,0,0,0,0,1,0,0,1,1,0,,0,0,0,0,4,Ich würde wenn eher eine Liter-Flasche kaufen.,"Fritz, Fanta, Vio, River",0,0,1,1,1,0,0,0,1,0,1,1,,0,1,-999,,,,,5,6,6,-999,4,-999,4,-999,2,,0.6,,1.5,,1.2,,0.8,1,-2,0,0,0,0,-1,1,-1,-1,1,0,-1,-2,0,1,-1,1,1,0,0,1,2,0,0,-1,1,0,1,1,-2,1,1,3,3,2,0,2,1,5,4,5,0,7,5,3,3,3,10,0,2,5,5,5,0,7,5,8,6,8,0,2,3,3,3,1,0,2,3,7,7,3,0,9,-999,-999,-999,-999,-999,-999,-999,-1,-1,1,0,-1,-999,-1,-999,1,-999,1,-999,-1,-999,-2,-1,0,1,-1,-1,-1,-1,0,-2,-1,-1,0,1,1,-1,0,1,-1,1,0,0,0,0,1,,,,,,1,,,,1,,,3,-2,1,1,0,-2,1,-1,1992,4,,-999,-999,-1,-1,1,1,-1,0,1,0,1,1,1,0,0,0,0,,1,1,0,,0,,4,0,0,1,0,2,49090,1,2
88,1,1,0,,0,1,0,0,,1,0,-999,-999,-999,-999,1,-999,5,-2,0,-2,1,0,1,,0,0,1,0,0,0,1,,0,0,2,0,-2,-1,Spezi,0,0,0,0,0,1,0,1,0,0,,0,0,0,1,10,Ich habe noch nie andere Orangenlimonade gekauft.,"Fanta, vio, bluna",0,0,0,1,1,0,0,0,0,0,0,1,,0,0,1,,,,,4,5,2,-999,10,-999,5,-999,1,,0.8,,1,,1,,0.5,0,-2,1,-1,0,-2,-1,2,0,-2,-1,1,-2,-2,0,1,0,-1,-2,-1,0,-1,0,1,1,-1,2,1,0,1,-2,1,7,8,6,8,3,6,1,2,3,3,0,6,5,2,3,7,10,3,3,5,5,1,0,6,8,9,7,1,0,4,8,8,2,0,0,4,2,3,4,2,2,6,-999,-999,-999,-999,-999,-999,-999,1,1,0,1,-2,-999,-1,-999,1,-999,1,-999,-1,-999,-1,-2,0,2,-2,-2,-2,1,0,-1,-1,-1,0,0,0,-1,1,,,,,,,,,,,1,,,4,1,,,,,,6,-1,-1,0,1,1,0,2,1995,4,,3,-999,-1,-2,1,0,1,0,0,1,-1,0,1,0,0,0,0,,1,1,0,,0,,3,0,1,0,0,1,32339,0,1
